id,sentence_id,cluster_id,similarity_to_cluster_centroid,team_id
537040,1019366,46904,,427
537041,1023435,46904,0.480544,427
537042,1020829,46904,0.669415,427
537043,1023205,46904,0.678456,427
537044,1019934,46904,0.706891,427
537045,1023725,46904,0.735205,427
537046,1020762,46904,0.742402,427
537047,1023434,46904,0.792965,427
537048,1024210,46904,0.79624,427
537049,1023672,46904,0.796839,427
537050,1019705,46904,0.811042,427
537051,1019371,46905,,427
537052,1022077,46905,0.586536,427
537053,1021881,46905,0.60405,427
537054,1021866,46905,0.62193,427
537055,1021145,46905,0.642387,427
537056,1021571,46905,0.649009,427
537057,1022218,46905,0.649756,427
537058,1021541,46905,0.649972,427
537059,1022155,46905,0.654592,427
537060,1022064,46905,0.660492,427
537061,1020650,46905,0.666867,427
537062,1020211,46905,0.671131,427
537063,1021573,46905,0.676747,427
537064,1021102,46905,0.679805,427
537065,1020516,46905,0.691227,427
537066,1022252,46905,0.69335,427
537067,1022184,46905,0.698465,427
537068,1021980,46905,0.700144,427
537069,1022311,46905,0.702984,427
537070,1020973,46905,0.708928,427
537071,1020531,46905,0.710391,427
537072,1019588,46905,0.711782,427
537073,1021415,46905,0.71322,427
537074,1019460,46905,0.715615,427
537075,1019992,46905,0.716156,427
537076,1023245,46905,0.716388,427
537077,1019838,46905,0.716409,427
537078,1019405,46905,0.717142,427
537079,1021295,46905,0.719173,427
537080,1021993,46905,0.72161,427
537081,1020741,46905,0.722831,427
537082,1021951,46905,0.722969,427
537083,1020447,46905,0.724184,427
537084,1019663,46905,0.732216,427
537085,1022245,46905,0.732554,427
537086,1022642,46905,0.732907,427
537087,1023082,46905,0.73322,427
537088,1021843,46905,0.734369,427
537089,1023800,46905,0.73539,427
537090,1024097,46905,0.737295,427
537091,1020631,46905,0.737531,427
537092,1020468,46905,0.737589,427
537093,1021848,46905,0.739907,427
537094,1021072,46905,0.74162,427
537095,1020342,46905,0.742599,427
537096,1021766,46905,0.744228,427
537097,1020045,46905,0.744366,427
537098,1021116,46905,0.746773,427
537099,1019552,46905,0.748084,427
537100,1020278,46905,0.75168,427
537101,1021132,46905,0.753789,427
537102,1023932,46905,0.756381,427
537103,1019791,46905,0.759303,427
537104,1019546,46905,0.75968,427
537105,1021337,46905,0.761675,427
537106,1021483,46905,0.761852,427
537107,1019589,46905,0.765817,427
537108,1019974,46905,0.766262,427
537109,1023625,46905,0.767207,427
537110,1021275,46905,0.768579,427
537111,1023929,46905,0.769627,427
537112,1021959,46905,0.770605,427
537113,1024087,46905,0.776277,427
537114,1019681,46905,0.776385,427
537115,1022385,46905,0.778379,427
537116,1023972,46905,0.780976,427
537117,1019682,46905,0.784095,427
537118,1020401,46905,0.788749,427
537119,1019861,46905,0.78913,427
